Location,Year,Measure,Metric,Estimate,Lower_95_UI,Upper_95_UI,Formatted_95_UI
High-middle SDI,2023,YLDs,"Weighted rate per 100,000",23.80480029643136,16.330752087288094,34.1745806756058,23.8 (16.33 to 34.17)
High-middle SDI,2023,DALYs,Number,1415011.8453395157,1176569.2604068958,1673797.253553927,1415012 (1176569 to 1673797)
High-middle SDI,2023,DALYs,"Weighted rate per 100,000",460.7325916670926,382.90847805378485,545.3896325478329,460.73 (382.91 to 545.39)
Middle SDI,1990,Incidence,Number,17214.98281155188,13895.683874549959,21316.686259643808,17215 (13896 to 21317)
Middle SDI,1990,Incidence,"Weighted rate per 100,000",21.95558800911158,17.70897389851718,27.19307692137255,21.96 (17.71 to 27.19)
Middle SDI,1990,Deaths,Number,7565.048551943789,6143.300650284148,9324.224191812951,7565 (6143 to 9324)
Middle SDI,1990,Deaths,"Weighted rate per 100,000",9.733359573293878,7.8933203409391535,11.997870333018437,9.73 (7.89 to 12)
Middle SDI,1990,YLLs,Number,369551.8650272533,300443.7132566401,455570.92879067594,369552 (300444 to 455571)
Middle SDI,1990,YLLs,"Weighted rate per 100,000",468.75699405717,380.57200192374273,577.9939712990773,468.76 (380.57 to 577.99)
Middle SDI,1990,YLDs,Number,11004.09108489972,7229.420233052893,15465.05547287553,11004 (7229 to 15465)
Middle SDI,1990,YLDs,"Weighted rate per 100,000",13.970383788117388,9.162953300503775,19.589141890645152,13.97 (9.16 to 19.59)
Middle SDI,1990,DALYs,Number,380555.956112153,309180.8509827211,469131.19454481953,380556 (309181 to 469131)
Middle SDI,1990,DALYs,"Weighted rate per 100,000",482.7273778452877,391.63463256559413,595.1011524016516,482.73 (391.63 to 595.1)
Middle SDI,2023,Incidence,Number,87495.03462134965,68965.3440249321,110045.35230061646,87495 (68965 to 110045)
Middle SDI,2023,Incidence,"Weighted rate per 100,000",50.490269287135725,39.79158672033301,63.50747287884523,50.49 (39.79 to 63.51)
Middle SDI,2023,Deaths,Number,26739.4515214177,21077.536652249364,33211.41771285636,26739 (21078 to 33211)
Middle SDI,2023,Deaths,"Weighted rate per 100,000",15.412578769241604,12.147489760078805,19.14460747782311,15.41 (12.15 to 19.14)
Middle SDI,2023,YLLs,Number,1290280.072373181,1016693.8323060807,1602757.591604046,1290280 (1016694 to 1602758)
Middle SDI,2023,YLLs,"Weighted rate per 100,000",744.3374390150947,586.4162603135774,924.6875467189135,744.34 (586.42 to 924.69)
Middle SDI,2023,YLDs,Number,55969.90927745256,37366.60486392616,83998.8603375447,55970 (37367 to 83999)
Middle SDI,2023,YLDs,"Weighted rate per 100,000",32.310152635055445,21.56987450057493,48.495642535673404,32.31 (21.57 to 48.5)
Middle SDI,2023,DALYs,Number,1346249.9816506335,1061559.2403817102,1668346.4608314442,1346250 (1061559 to 1668346)
Middle SDI,2023,DALYs,"Weighted rate per 100,000",776.6475916501521,612.3330253837727,962.5579283013487,776.65 (612.33 to 962.56)
Low-middle SDI,1990,Incidence,Number,17210.866555619876,13217.287480698957,22477.878292476602,17211 (13217 to 22478)
Low-middle SDI,1990,Incidence,"Weighted rate per 100,000",18.384905144492276,14.125541755379837,23.976374597181927,18.38 (14.13 to 23.98)
Low-middle SDI,1990,Deaths,Number,8759.655371967563,6739.252987044697,11280.566329196065,8760 (6739 to 11281)
Low-middle SDI,1990,Deaths,"Weighted rate per 100,000",9.423026452887122,7.25042988722667,12.117421934736466,9.42 (7.25 to 12.12)
Low-middle SDI,1990,YLLs,Number,436007.7342622251,335368.79247470666,562404.5413154174,436008 (335369 to 562405)
Low-middle SDI,1990,YLLs,"Weighted rate per 100,000",462.5511874963091,355.92546100211945,595.6123950311435,462.55 (355.93 to 595.61)
Low-middle SDI,1990,YLDs,Number,10700.504466064938,6766.856285157977,15653.618993458183,10701 (6767 to 15654)
Low-middle SDI,1990,YLDs,"Weighted rate per 100,000",11.395962793850295,7.214852693720127,16.632760562210972,11.4 (7.21 to 16.63)
Low-middle SDI,1990,DALYs,Number,446708.2387282901,343563.51669297874,576211.8984215746,446708 (343564 to 576212)
Low-middle SDI,1990,DALYs,"Weighted rate per 100,000",473.9471502901627,364.69121384986136,610.3594508494804,473.95 (364.69 to 610.36)
Low-middle SDI,2023,Incidence,Number,94276.90303465076,72278.72313933763,121609.8424535811,94277 (72279 to 121610)
Low-middle SDI,2023,Incidence,"Weighted rate per 100,000",47.92685048913508,36.78083722180013,61.76417407608675,47.93 (36.78 to 61.76)
Low-middle SDI,2023,Deaths,Number,35718.640308425034,27300.01537721375,45513.263477786924,35719 (27300 to 45513)
Low-middle SDI,2023,Deaths,"Weighted rate per 100,000",18.208728089207796,13.933336782127634,23.162581021436335,18.21 (13.93 to 23.16)
Low-middle SDI,2023,YLLs,Number,1776657.2656887097,1353716.9382651695,2272729.7237214283,1776657 (1353717 to 2272730)
Low-middle SDI,2023,YLLs,"Weighted rate per 100,000",900.1797216290439,686.758328002257,1149.5380040551352,900.18 (686.76 to 1149.54)
Low-middle SDI,2023,YLDs,Number,56331.170274644894,37104.79196071235,83495.24422958343,56331 (37105 to 83495)
Low-middle SDI,2023,YLDs,"Weighted rate per 100,000",28.562112540098756,18.827751178133877,42.27626433509545,28.56 (18.83 to 42.28)
Low-middle SDI,2023,DALYs,Number,1832988.4359633545,1398322.5776121977,2346415.013703158,1832988 (1398323 to 2346415)
Low-middle SDI,2023,DALYs,"Weighted rate per 100,000",928.7418341691491,709.1851810227686,1186.8061685046762,928.74 (709.19 to 1186.81)
Low SDI,1990,Incidence,Number,18959.51936927357,13705.315908401555,25764.193720521795,18960 (13705 to 25764)
Low SDI,1990,Incidence,"Weighted rate per 100,000",20.025352174402034,14.485396201579512,27.129398910452032,20.03 (14.49 to 27.13)
Low SDI,1990,Deaths,Number,10385.95742492165,7606.463503063494,13944.800517245034,10386 (7606 to 13945)
Low SDI,1990,Deaths,"Weighted rate per 100,000",11.06812285187359,8.111536682702285,14.818677935704033,11.07 (8.11 to 14.82)
Low SDI,1990,YLLs,Number,522957.5549547109,382709.7723503223,703877.4992830111,522958 (382710 to 703877)
Low SDI,1990,YLLs,"Weighted rate per 100,000",547.6208614273507,401.1245899847386,734.8311733979064,547.62 (401.12 to 734.83)
Low SDI,1990,YLDs,Number,12210.538686984664,7421.549407410714,18362.64569068906,12211 (7422 to 18363)
Low SDI,1990,YLDs,"Weighted rate per 100,000",12.82557474362838,7.817545335357542,19.197051545194803,12.83 (7.82 to 19.2)
Low SDI,1990,DALYs,Number,535168.0936416953,390895.4681591584,720915.8535798418,535168 (390895 to 720916)
Low SDI,1990,DALYs,"Weighted rate per 100,000",560.4464361709813,409.80307058162674,752.470098837331,560.45 (409.8 to 752.47)
Low SDI,2023,Incidence,Number,125120.74163790276,91809.64169706183,164463.29647511028,125121 (91810 to 164463)
Low SDI,2023,Incidence,"Weighted rate per 100,000",51.7901280182233,38.10547003472181,68.03733259333649,51.79 (38.11 to 68.04)
Low SDI,2023,Deaths,Number,52991.24207464507,38156.00153362708,68589.7844419342,52991 (38156 to 68590)
Low SDI,2023,Deaths,"Weighted rate per 100,000",22.08634266033996,15.93409249517799,28.57280996507233,22.09 (15.93 to 28.57)
Low SDI,2023,YLLs,Number,2650740.1718067275,1905119.2312443405,3433049.0374392844,2650740 (1905119 to 3433049)
Low SDI,2023,YLLs,"Weighted rate per 100,000",1089.8925080491913,784.7946072828252,1410.786195338487,1089.89 (784.79 to 1410.79)
Low SDI,2023,YLDs,Number,76758.666672287,47065.16167368563,115405.03297317604,76759 (47065 to 115405)
Low SDI,2023,YLDs,"Weighted rate per 100,000",31.62340842307928,19.396001946050337,47.435783842980335,31.62 (19.4 to 47.44)
Low SDI,2023,DALYs,Number,2727498.838479013,1962992.6214426246,3543003.213980152,2727499 (1962993 to 3543003)
Low SDI,2023,DALYs,"Weighted rate per 100,000",1121.515916472272,808.4256871488113,1456.0214185338682,1121.52 (808.43 to 1456.02)
