location_name,year,Rate,measure_clean
Middle SDI,1991,22.318529087600005,Incidence
Middle SDI,1992,22.818422201035073,Incidence
Middle SDI,1993,23.333791519589756,Incidence
Middle SDI,1994,23.789713324042733,Incidence
Middle SDI,1995,24.22238206293661,Incidence
Middle SDI,1996,24.75747041891003,Incidence
Middle SDI,1997,25.315335954145116,Incidence
Middle SDI,1998,25.79148834260184,Incidence
Middle SDI,1999,26.13701947643516,Incidence
Middle SDI,2000,26.42868665448801,Incidence
Middle SDI,2001,26.71194322038113,Incidence
Middle SDI,2002,26.958695436577596,Incidence
Middle SDI,2003,27.1663731038799,Incidence
Middle SDI,2004,27.978341521957738,Incidence
Middle SDI,2005,28.043239277281074,Incidence
Middle SDI,2006,28.762973015113445,Incidence
Middle SDI,2007,29.567531738240355,Incidence
Middle SDI,2008,30.394471386205485,Incidence
Middle SDI,2009,31.184130821445805,Incidence
Middle SDI,2010,32.12166670876657,Incidence
Middle SDI,2011,32.99299363642636,Incidence
Middle SDI,2012,33.687100189998766,Incidence
Middle SDI,2013,34.56621854484681,Incidence
Middle SDI,2014,35.5939711766065,Incidence
Middle SDI,2015,36.72543123386924,Incidence
Middle SDI,2016,37.91899031839377,Incidence
Middle SDI,2017,39.18721552018374,Incidence
Middle SDI,2018,40.47778680549014,Incidence
Middle SDI,2019,41.873351364205014,Incidence
Middle SDI,2020,43.23386275541962,Incidence
Middle SDI,2021,46.49020910334549,Incidence
Middle SDI,2022,48.006822973427106,Incidence
Middle SDI,2023,50.490269287135725,Incidence
China,1990,9.247319161045855,Deaths
China,1991,9.29257467663352,Deaths
China,1992,9.310104746098201,Deaths
China,1993,9.26667980119499,Deaths
China,1994,9.217908602923503,Deaths
China,1995,9.209519566796383,Deaths
China,1996,9.237372611027917,Deaths
China,1997,9.18635642437,Deaths
China,1998,9.100443373344383,Deaths
China,1999,8.96120664178178,Deaths
China,2000,8.843810930926022,Deaths
China,2001,8.667518184758785,Deaths
China,2002,8.313835271529149,Deaths
China,2003,7.979687086839768,Deaths
China,2004,7.610137936378562,Deaths
China,2005,7.3310806780391875,Deaths
China,2006,7.021110118749262,Deaths
China,2007,6.731670448342491,Deaths
China,2008,6.359599904175726,Deaths
China,2009,6.047494521698848,Deaths
China,2010,5.792998882139601,Deaths
China,2011,5.485924167062471,Deaths
China,2012,5.193257434915287,Deaths
China,2013,4.95130797449196,Deaths
China,2014,4.808823498813513,Deaths
China,2015,4.682788113544191,Deaths
China,2016,4.6059323084965,Deaths
China,2017,4.60221059413422,Deaths
China,2018,4.539866255939962,Deaths
China,2019,4.455563934140901,Deaths
China,2020,4.386503796207,Deaths
China,2021,4.4919844550767385,Deaths
China,2022,4.760080674075864,Deaths
China,2023,4.720187005409903,Deaths
Global,1990,11.06730432966295,Deaths
Global,1991,11.111382504426453,Deaths
Global,1992,11.092919776572009,Deaths
Global,1993,11.121769412611735,Deaths
Global,1994,11.12300454612145,Deaths
Global,1995,11.09947537545911,Deaths
Global,1996,11.031658471392674,Deaths
Global,1997,10.8967370788273,Deaths
Global,1998,10.816666586595598,Deaths
Global,1999,10.75129389058456,Deaths
Global,2000,10.67790092394525,Deaths
Global,2001,10.573113324633361,Deaths
Global,2002,10.386821911440343,Deaths
Global,2003,10.19458730185708,Deaths
Global,2004,10.015190750940233,Deaths
Global,2005,9.827140990013248,Deaths
Global,2006,9.684740115643336,Deaths
Global,2007,9.60862648804451,Deaths
Global,2008,9.558977649897939,Deaths
Global,2009,9.482130685417353,Deaths
Global,2010,9.452761802082657,Deaths
Global,2011,9.422331033413887,Deaths
Global,2012,9.432353666091267,Deaths
Global,2013,9.55778313910121,Deaths
Global,2014,9.760711887911658,Deaths
Global,2015,9.973593244778659,Deaths
Global,2016,10.161777936804425,Deaths
Global,2017,10.357525934512497,Deaths
Global,2018,10.557286404151741,Deaths
Global,2019,10.801520383202527,Deaths
Global,2020,11.043873979059036,Deaths
Global,2021,11.693704259025592,Deaths
Global,2022,12.365129551323605,Deaths
Global,2023,12.920714867618619,Deaths
High SDI,1990,12.40402415874921,Deaths
High SDI,1991,12.40763785203387,Deaths
High SDI,1992,12.402374679116077,Deaths
High SDI,1993,12.430097585789083,Deaths
High SDI,1994,12.411489678990648,Deaths
High SDI,1995,12.325477211428375,Deaths
High SDI,1996,12.087558883740439,Deaths
High SDI,1997,11.770110190171271,Deaths
High SDI,1998,11.49578038896883,Deaths
High SDI,1999,11.276470069010529,Deaths
High SDI,2000,11.072518601813274,Deaths
High SDI,2001,10.836598753098283,Deaths
High SDI,2002,10.544563473440629,Deaths
High SDI,2003,10.307931955676022,Deaths
High SDI,2004,10.002452663276863,Deaths
High SDI,2005,9.713459333971615,Deaths
High SDI,2006,9.374756566895286,Deaths
High SDI,2007,9.075541055619132,Deaths
High SDI,2008,8.844341702896998,Deaths
High SDI,2009,8.54793656226037,Deaths
High SDI,2010,8.274739997359232,Deaths
High SDI,2011,8.035523008699505,Deaths
High SDI,2012,7.818568317431358,Deaths
High SDI,2013,7.661038545459228,Deaths
High SDI,2014,7.55663366563993,Deaths
High SDI,2015,7.513463642853116,Deaths
High SDI,2016,7.519759371743283,Deaths
High SDI,2017,7.485135901410103,Deaths
High SDI,2018,7.404542029367422,Deaths
High SDI,2019,7.362213050849435,Deaths
High SDI,2020,7.312691981889519,Deaths
High SDI,2021,7.341965394683356,Deaths
High SDI,2022,7.55354267548221,Deaths
High SDI,2023,7.52931718092596,Deaths
High-middle SDI,1990,9.648998550235634,Deaths
High-middle SDI,1991,9.672587652486026,Deaths
High-middle SDI,1992,9.628662879632902,Deaths
High-middle SDI,1993,9.648183317150227,Deaths
High-middle SDI,1994,9.645226385681527,Deaths
High-middle SDI,1995,9.674943079063167,Deaths
High-middle SDI,1996,9.715108474072572,Deaths
High-middle SDI,1997,9.598082293259054,Deaths
High-middle SDI,1998,9.598352626823445,Deaths
High-middle SDI,1999,9.677295354311521,Deaths
High-middle SDI,2000,9.690451716314108,Deaths
High-middle SDI,2001,9.634864502508854,Deaths
High-middle SDI,2002,9.399322769070265,Deaths
High-middle SDI,2003,9.095388655479828,Deaths
High-middle SDI,2004,8.807749645395816,Deaths
High-middle SDI,2005,8.557783710531393,Deaths
High-middle SDI,2006,8.433087954296486,Deaths
High-middle SDI,2007,8.337875859375938,Deaths
High-middle SDI,2008,8.190024452998445,Deaths
High-middle SDI,2009,8.099099407215807,Deaths
High-middle SDI,2010,8.031752966482951,Deaths
High-middle SDI,2011,7.891490014722656,Deaths
High-middle SDI,2012,7.8110415646863665,Deaths
High-middle SDI,2013,7.78897190126461,Deaths
High-middle SDI,2014,7.836175769517082,Deaths
High-middle SDI,2015,7.914131737584519,Deaths
High-middle SDI,2016,7.978997921834165,Deaths
High-middle SDI,2017,8.033997525557032,Deaths
High-middle SDI,2018,8.03189510352497,Deaths
High-middle SDI,2019,8.059367342626382,Deaths
High-middle SDI,2020,8.196762466027474,Deaths
High-middle SDI,2021,8.617014471763113,Deaths
High-middle SDI,2022,8.740602315207154,Deaths
High-middle SDI,2023,9.023114014305394,Deaths
Low SDI,1990,11.06812285187359,Deaths
Low SDI,1991,11.28775574916654,Deaths
Low SDI,1992,11.101354446645983,Deaths
Low SDI,1993,11.00658131588518,Deaths
Low SDI,1994,10.921523863654738,Deaths
Low SDI,1995,10.766028778355802,Deaths
Low SDI,1996,10.760972593031209,Deaths
Low SDI,1997,10.779932364177592,Deaths
Low SDI,1998,10.901300956712344,Deaths
Low SDI,1999,10.984598813277739,Deaths
Low SDI,2000,11.002486390074624,Deaths
Low SDI,2001,11.004005124330705,Deaths
Low SDI,2002,10.951155133947843,Deaths
Low SDI,2003,10.766668455512427,Deaths
Low SDI,2004,10.633653054052775,Deaths
Low SDI,2005,10.629406408670892,Deaths
Low SDI,2006,10.680843233962856,Deaths
Low SDI,2007,10.834251588941578,Deaths
Low SDI,2008,10.961698499565058,Deaths
Low SDI,2009,11.184585362721862,Deaths
Low SDI,2010,11.430170246776308,Deaths
Low SDI,2011,11.64358536148892,Deaths
Low SDI,2012,11.957553656671738,Deaths
Low SDI,2013,12.59194725254519,Deaths
Low SDI,2014,13.179012783410505,Deaths
Low SDI,2015,13.732999730113503,Deaths
Low SDI,2016,14.17361108973354,Deaths
Low SDI,2017,14.783128390598618,Deaths
Low SDI,2018,15.546998683319842,Deaths
Low SDI,2019,16.322287929581005,Deaths
Low SDI,2020,16.847308515616014,Deaths
Low SDI,2021,18.409555494067686,Deaths
Low SDI,2022,20.43463592161389,Deaths
Low SDI,2023,22.08634266033996,Deaths
Low-middle SDI,1990,9.423026452887122,Deaths
Low-middle SDI,1991,9.52369389930512,Deaths
Low-middle SDI,1992,9.508073879530002,Deaths
Low-middle SDI,1993,9.53798410486816,Deaths
Low-middle SDI,1994,9.54857703406986,Deaths
Low-middle SDI,1995,9.605760900500162,Deaths
Low-middle SDI,1996,9.745818147863067,Deaths
Low-middle SDI,1997,9.943621424584215,Deaths
Low-middle SDI,1998,10.14001893317817,Deaths
Low-middle SDI,1999,10.160236524480677,Deaths
Low-middle SDI,2000,10.266796815654454,Deaths
Low-middle SDI,2001,10.334812005254939,Deaths
Low-middle SDI,2002,10.304911202029938,Deaths
Low-middle SDI,2003,10.301781589945362,Deaths
Low-middle SDI,2004,10.328405840970813,Deaths
Low-middle SDI,2005,10.35944997875524,Deaths
