population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,measure_clean
1,All Population,1,Deaths,204,Chad,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,21.64241391,31.21603552,13.60569924,Deaths
1,All Population,1,Deaths,85,Israel,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,19.73773183,21.8031892,17.4178785,Deaths
1,All Population,1,Deaths,60,Lithuania,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.94532716,18.72856844,15.40228151,Deaths
1,All Population,1,Deaths,165,Pakistan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,34.02674122,45.04829832,22.71963064,Deaths
1,All Population,1,Deaths,147,Libya,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.59458184,20.04755856,9.868035536,Deaths
1,All Population,1,Deaths,102,USA,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.7651171,18.66250197,14.83852614,Deaths
1,All Population,1,Deaths,206,Gambia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.49664782,29.71186933,13.73815794,Deaths
1,All Population,1,Deaths,136,Paraguay,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,21.58988485,26.59480261,17.84986661,Deaths
1,All Population,1,Deaths,112,Grenada,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,25.64807786,31.15339806,20.73196091,Deaths
1,All Population,1,Deaths,77,Cyprus,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,22.27125611,28.47223091,17.17039523,Deaths
1,All Population,1,Deaths,27,Samoa,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.45871103,20.71938315,9.465326314,Deaths
1,All Population,1,Deaths,396,San Marino,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.61404255,19.15595989,10.54460691,Deaths
1,All Population,1,Deaths,212,Mauritania,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,34.25973735,49.01559915,22.76072157,Deaths
1,All Population,1,Deaths,131,Nicaragua,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,12.05621165,15.19600856,9.310789597,Deaths
1,All Population,1,Deaths,194,Lesotho,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,19.05704053,26.56948918,12.52972007,Deaths
1,All Population,1,Deaths,53,Serbia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,28.14458845,32.54757761,24.25784514,Deaths
1,All Population,1,Deaths,119,Trinidad and Tobago,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,31.45157526,36.96410105,27.18059244,Deaths
1,All Population,1,Deaths,154,Tunisia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,27.1698914,33.88344866,20.51802885,Deaths
1,All Population,1,Deaths,18,Thailand,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.76009308,19.76047851,12.48176085,Deaths
1,All Population,1,Deaths,33,Armenia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.17129007,17.26076917,13.34365432,Deaths
1,All Population,1,Deaths,205,Côte d'Ivoire,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,47.29168327,63.63119799,31.3212714,Deaths
1,All Population,1,Deaths,113,Guyana,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,27.19364102,33.09550453,21.95322341,Deaths
1,All Population,1,Deaths,19,Timor-Leste,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.56244657,26.34478133,12.02286886,Deaths
1,All Population,1,Deaths,34,Azerbaijan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.06777133,17.60924493,11.00967445,Deaths
