location_name,year,age_name,Risk_Factor,val
China,1996,35-39 years,High alcohol use,0.014004855
China,1996,35-39 years,High fasting plasma glucose,0.051494799
China,1996,35-39 years,Low physical activity,0.010697308
China,1996,35-39 years,Tobacco use,0.140282238
China,1996,40-44 years,High BMI,0
China,1996,40-44 years,High alcohol use,0.016593884
China,1996,40-44 years,High fasting plasma glucose,0.060781141
China,1996,40-44 years,Low physical activity,0.010888057
China,1996,40-44 years,Tobacco use,0.142611427
China,1996,45-49 years,High BMI,0
China,1996,45-49 years,High alcohol use,0.015356308
China,1996,45-49 years,High fasting plasma glucose,0.068883098
China,1996,45-49 years,Low physical activity,0.011697323
China,1996,45-49 years,Tobacco use,0.144377244
China,1997,25-29 years,High BMI,0
China,1997,25-29 years,High alcohol use,0.007823017
China,1997,25-29 years,High fasting plasma glucose,0.032424877
China,1997,25-29 years,Low physical activity,0.010502079
China,1997,25-29 years,Tobacco use,0.137409493
China,1997,30-34 years,High BMI,0
China,1997,30-34 years,High alcohol use,0.010914929
China,1997,30-34 years,High fasting plasma glucose,0.04053187
China,1997,30-34 years,Low physical activity,0.010731125
China,1997,30-34 years,Tobacco use,0.138605362
China,1997,35-39 years,High BMI,0
China,1997,35-39 years,High alcohol use,0.013415552
China,1997,35-39 years,High fasting plasma glucose,0.050045083
China,1997,35-39 years,Low physical activity,0.0106899
China,1997,35-39 years,Tobacco use,0.139029708
China,1997,40-44 years,High BMI,0
China,1997,40-44 years,High alcohol use,0.015965944
China,1997,40-44 years,High fasting plasma glucose,0.059319822
China,1997,40-44 years,Low physical activity,0.010824749
China,1997,40-44 years,Tobacco use,0.141373438
China,1997,45-49 years,High BMI,0
China,1997,45-49 years,High alcohol use,0.014526656
China,1997,45-49 years,High fasting plasma glucose,0.067401426
China,1997,45-49 years,Low physical activity,0.01164855
China,1997,45-49 years,Tobacco use,0.142946849
China,1998,25-29 years,High BMI,0
China,1998,25-29 years,High alcohol use,0.007489414
China,1998,25-29 years,High fasting plasma glucose,0.03112575
China,1998,25-29 years,Low physical activity,0.010452949
China,1998,25-29 years,Tobacco use,0.135940648
China,1998,30-34 years,High BMI,0
China,1998,30-34 years,High alcohol use,0.010579764
China,1998,30-34 years,High fasting plasma glucose,0.039162561
China,1998,30-34 years,Low physical activity,0.010689987
China,1998,30-34 years,Tobacco use,0.137072694
China,1998,35-39 years,High BMI,0
China,1998,35-39 years,High alcohol use,0.012725455
China,1998,35-39 years,High fasting plasma glucose,0.048587934
China,1998,35-39 years,Low physical activity,0.01065883
China,1998,35-39 years,Tobacco use,0.137450566
China,1998,40-44 years,High BMI,0
China,1998,40-44 years,High alcohol use,0.015296503
China,1998,40-44 years,High fasting plasma glucose,0.057884847
China,1998,40-44 years,Low physical activity,0.010758996
China,1998,40-44 years,Tobacco use,0.139792257
China,1998,45-49 years,High BMI,0
China,1998,45-49 years,High alcohol use,0.013631107
