Analysis_type,Analysis_ID,Feature,Mean_abs_SHAP,Normalized_importance,Rank,Risk_Factor,Bootstrap_ID
Grouped calendar-block bootstrap,Bootstrap 42,Tobacco_use,3.7491315884495098,0.03153693645104776,4,Tobacco use,42
Grouped calendar-block bootstrap,Bootstrap 43,High_alcohol_use,14.018021625324208,0.12411528290891863,2,High alcohol use,43
Grouped calendar-block bootstrap,Bootstrap 43,High_fasting_plasma_glucose,79.67408910569023,0.7054327903160463,1,High fasting plasma glucose,43
Grouped calendar-block bootstrap,Bootstrap 43,Low_physical_activity,12.21337611032102,0.10813698763790162,3,Low physical activity,43
Grouped calendar-block bootstrap,Bootstrap 43,Tobacco_use,7.038070928349215,0.062314939137133436,4,Tobacco use,43
Grouped calendar-block bootstrap,Bootstrap 44,High_alcohol_use,10.83492102209369,0.09419165702744478,3,High alcohol use,44
Grouped calendar-block bootstrap,Bootstrap 44,High_fasting_plasma_glucose,83.79290927718668,0.7284402863550763,1,High fasting plasma glucose,44
Grouped calendar-block bootstrap,Bootstrap 44,Low_physical_activity,12.096670572941795,0.10516047541621527,2,Low physical activity,44
Grouped calendar-block bootstrap,Bootstrap 44,Tobacco_use,8.306080009656794,0.0722075812012636,4,Tobacco use,44
Grouped calendar-block bootstrap,Bootstrap 45,High_alcohol_use,16.3824565353639,0.14385304148008618,2,High alcohol use,45
Grouped calendar-block bootstrap,Bootstrap 45,High_fasting_plasma_glucose,84.48493133178529,0.7418554296224525,1,High fasting plasma glucose,45
Grouped calendar-block bootstrap,Bootstrap 45,Low_physical_activity,3.7288083990268848,0.03274236852932345,4,Low physical activity,45
Grouped calendar-block bootstrap,Bootstrap 45,Tobacco_use,9.28708605310496,0.0815491603681378,3,Tobacco use,45
Grouped calendar-block bootstrap,Bootstrap 46,High_alcohol_use,21.53569393735927,0.1918725982882942,2,High alcohol use,46
Grouped calendar-block bootstrap,Bootstrap 46,High_fasting_plasma_glucose,79.13869115885566,0.7050873931414368,1,High fasting plasma glucose,46
Grouped calendar-block bootstrap,Bootstrap 46,Low_physical_activity,6.987963666712099,0.06225937039113846,3,Low physical activity,46
Grouped calendar-block bootstrap,Bootstrap 46,Tobacco_use,4.577200445664279,0.04078063817913053,4,Tobacco use,46
Grouped calendar-block bootstrap,Bootstrap 47,High_alcohol_use,13.389164129907593,0.1190756721787286,2,High alcohol use,47
Grouped calendar-block bootstrap,Bootstrap 47,High_fasting_plasma_glucose,84.40873784387813,0.7506836945905183,1,High fasting plasma glucose,47
Grouped calendar-block bootstrap,Bootstrap 47,Low_physical_activity,10.00155291758916,0.08894816920145357,3,Low physical activity,47
Grouped calendar-block bootstrap,Bootstrap 47,Tobacco_use,4.643027144845794,0.04129246402929947,4,Tobacco use,47
Grouped calendar-block bootstrap,Bootstrap 48,High_alcohol_use,6.69896167249364,0.05563054972157318,2,High alcohol use,48
Grouped calendar-block bootstrap,Bootstrap 48,High_fasting_plasma_glucose,103.05905597753384,0.8558388923700821,1,High fasting plasma glucose,48
Grouped calendar-block bootstrap,Bootstrap 48,Low_physical_activity,5.812915943068562,0.048272512250070364,3,Low physical activity,48
Grouped calendar-block bootstrap,Bootstrap 48,Tobacco_use,4.847823834638385,0.040258045658274254,4,Tobacco use,48
Grouped calendar-block bootstrap,Bootstrap 49,High_alcohol_use,10.669557162965921,0.09255778747230427,2,High alcohol use,49
Grouped calendar-block bootstrap,Bootstrap 49,High_fasting_plasma_glucose,88.24083596397848,0.7654841167992784,1,High fasting plasma glucose,49
